序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率（动态）,市净率
0,873693,阿为特,26.22,30.00%,6.05,4.28万,1.03亿,29.35%,26.22,20.30,20.38,20.17,12.32,21.10%,75.19,5.63
1,831526,凯华材料,21.16,29.98%,4.88,10.57万,2.03亿,29.12%,21.16,16.42,16.60,16.28,5.76,41.86%,87.56,8.56
2,836247,华密新材,17.21,24.98%,3.44,13.59万,2.17亿,27.96%,17.60,13.75,13.75,13.77,3.81,35.35%,49.06,4.90
3,301389,隆扬电子,18.82,20.03%,3.14,31.95万,5.72亿,17.47%,18.82,16.08,16.08,15.68,4.93,38.93%,74.90,2.47
4,300956,英力股份,22.84,20.02%,3.81,36.26万,8.12亿,8.04%,22.84,21.31,21.80,19.03,2.86,63.61%,208.38,2.99
5,688020,方邦股份,42.94,20.01%,7.16,8.05万,3.34亿,16.60%,42.94,37.00,37.80,35.78,3.52,9.98%,-60.97,2.36
6,301591,肯特股份,56.64,20.00%,9.44,13.49万,7.39亿,20.34%,56.64,47.04,47.06,47.20,1.95,67.65%,69.87,5.63
7,301366,一博科技,39.60,20.00%,6.60,20.66万,8.11亿,6.36%,39.60,37.50,37.98,33.00,3.11,37.77%,90.06,2.72
8,301086,鸿富瀚,41.40,20.00%,6.90,5.46万,2.12亿,21.36%,41.40,34.03,34.03,34.50,9.53,16.79%,33.52,1.92
9,300722,新余国科,27.36,20.00%,4.56,29.20万,7.48亿,20.00%,27.36,22.80,23.00,22.80,2.86,12.66%,194.30,10.59
10,300410,正业科技,7.21,19.97%,1.20,66.29万,4.61亿,20.80%,7.21,5.96,6.09,6.01,10.10,18.07%,-58.66,6.18
11,300947,德必集团,22.84,19.33%,3.70,34.96万,6.91亿,27.53%,22.90,17.63,18.10,19.14,1.49,37.66%,99.30,2.77
12,870357,雅葆轩,15.09,17.61%,2.26,7.24万,1.05亿,24.79%,15.98,12.80,12.85,12.83,4.81,31.21%,53.82,3.61
13,833751,惠同新材,9.56,17.59%,1.43,11.33万,1.08亿,31.98%,10.56,7.96,8.15,8.13,11.81,24.56%,24.80,2.21
14,873223,荣亿精密,3.49,17.11%,0.51,11.00万,0.37亿,30.20%,3.80,2.90,2.99,2.98,18.16,13.72%,-18.07,1.92
15,300500,启迪设计,13.30,16.06%,1.84,35.45万,4.51亿,13.00%,13.49,12.00,12.48,11.46,2.81,21.57%,62.04,1.89
16,300155,安居宝,6.11,15.94%,0.84,112.51万,5.81亿,26.76%,6.14,4.73,5.01,5.27,1.38,34.05%,-491.73,2.62
17,832171,志晟信息,6.94,15.67%,0.94,9.08万,0.62亿,26.83%,7.59,5.98,6.07,6.00,6.55,13.56%,-22.95,2.46
18,300967,晓鸣股份,13.38,14.16%,1.66,25.28万,3.12亿,18.34%,13.66,11.51,11.67,11.72,2.32,20.26%,-64.14,3.95
19,300008,天海防务,4.13,14.09%,0.51,301.90万,12.46亿,19.89%,4.34,3.62,3.64,3.62,6.14,18.33%,57.87,3.63
